BUS_ID,OPERATOR_NAME,BUS_TYPE,SEAT_CAPACITY,BUS_MODEL,REGISTRATION_NO,IN_SERVICE_DATE,STATUS,UPDATED_AT
BUS001,Operator A,AC_SLEEPER,34,VOLVO,KA-01-AA-1234,2022-01-10,ACTIVE,2026-01-01 08:00:00
BUS002,Operator A,NONAC_SEATER,45,ASHOK,TN-09-BB-2345,2021-06-15,ACTIVE,2026-01-01 08:01:00
BUS003,Operator B,AC_SEATER,40,SCANIA,MH-01-CC-3456,2020-09-20,ACTIVE,2026-01-01 08:02:00
BUS004,Operator C,AC_SLEEPER,30,VOLVO,DL-01-DD-4567,2019-04-12,ACTIVE,2026-01-01 08:03:00
BUS005,Operator B,NONAC_SLEEPER,36,TATA,TS-09-EE-5678,2023-03-11,ACTIVE,2026-01-01 08:04:00
BUS006,Operator D,AC_SEATER,42,LEYLAND,KL-07-FF-6789,2022-08-09,ACTIVE,2026-01-01 08:05:00
BUS007,Operator E,NONAC_SEATER,50,TATA,UP-16-GG-7890,2021-03-25,ACTIVE,2026-01-01 08:06:00
BUS008,Operator C,AC_SEATER,39,SCANIA,WB-01-HH-8901,2020-07-19,ACTIVE,2026-01-01 08:07:00
BUS009,Operator D,AC_SLEEPER,32,VOLVO,GJ-01-II-9012,2021-01-30,ACTIVE,2026-01-01 08:08:00
BUS010,Operator F,NONAC_SLEEPER,28,ASHOK,RJ-14-JJ-0123,2022-05-18,ACTIVE,2026-01-01 08:09:00
BUS011,Operator A,AC_SEATER,41,LEYLAND,TN-02-KK-1122,2023-01-16,ACTIVE,2026-01-01 08:10:00
BUS012,Operator B,AC_SLEEPER,33,VOLVO,MP-04-LL-2233,2024-02-10,ACTIVE,2026-01-01 08:11:00
BUS013,Operator E,AC_SEATER,38,SCANIA,GA-03-MM-3344,2023-06-21,ACTIVE,2026-01-01 08:12:00
BUS014,Operator F,NONAC_SEATER,48,TATA,KA-05-NN-4455,2023-03-30,ACTIVE,2026-01-01 08:13:00
BUS015,Operator C,AC_SLEEPER,35,VOLVO,DL-09-OO-5566,2022-06-10,ACTIVE,2026-01-01 08:14:00
