BOOKING_ID,BOOKING_LINE_ID,BOOKING_DATE,CUSTOMER_ID,ROUTE_ID,BUS_ID,JOURNEY_DATE,DEPARTURE_TIME,ARRIVAL_TIME,SEAT_TYPE,SEAT_NO,PASSENGER_COUNT,FARE_AMOUNT,DISCOUNT_PCT,PAYMENT_MODE,BOOKING_STATUS
BK9001,1,2026-01-01,CU0001,RT001,BUS011,2026-01-10,22:30,06:00,SEAT,S12,1,899,0,UPI,CONFIRMED
BK9002,1,2026-01-01,CU0002,RT003,BUS001,2026-01-11,21:00,05:45,SLEEPER,SL05,1,1499,5,CARD,CONFIRMED
BK9003,1,2026-01-01,CU0003,RT005,BUS004,2026-01-12,07:30,12:00,SEAT,A10,2,699,0,CASH,CONFIRMED
BK9004,1,2026-01-01,CU0004,RT010,BUS006,2026-01-13,18:00,22:00,SEAT,B07,1,499,0,UPI,CONFIRMED
BK9005,1,2026-01-01,CU0005,RT006,BUS005,2026-01-14,23:00,07:00,SLEEPER,SL11,1,1299,10,CARD,CONFIRMED
BK9006,1,2026-01-01,CU0006,RT004,BUS003,2026-01-10,06:00,09:00,SEAT,C03,1,399,0,UPI,CONFIRMED
BK9007,1,2026-01-01,CU0007,RT009,BUS007,2026-01-11,20:00,06:30,SEAT,D15,1,799,0,UPI,CANCELLED
BK9008,1,2026-01-01,CU0008,RT013,BUS014,2026-01-12,08:00,10:45,SEAT,E09,3,299,0,CARD,CONFIRMED
BK9009,1,2026-01-01,CU0009,RT012,BUS012,2026-01-13,09:00,12:30,SEAT,F02,1,349,0,CASH,CONFIRMED
BK9010,1,2026-01-01,CU0010,RT014,BUS013,2026-01-14,19:30,06:30,SEAT,G18,2,1099,8,UPI,CONFIRMED
BK9011,1,2026-01-01,CU0011,RT007,BUS008,2026-01-11,22:00,06:00,SEAT,H05,1,899,0,CARD,CONFIRMED
BK9012,1,2026-01-01,CU0012,RT002,BUS002,2026-01-10,05:30,13:00,SEAT,J14,1,649,0,UPI,CONFIRMED
BK9013,1,2026-01-01,CU0013,RT004,BUS003,2026-01-10,06:00,09:00,SEAT,C04,1,399,0,UPI,CONFIRMED
BK9014,1,2026-01-01,CU0014,RT015,BUS004,2026-01-12,09:00,13:00,SEAT,A11,1,599,0,CARD,CONFIRMED
BK9015,1,2026-01-01,CU0015,RT012,BUS012,2026-01-13,09:00,12:30,SEAT,F03,2,349,0,UPI,CONFIRMED
BK9016,1,2026-01-01,CU0016,RT010,BUS006,2026-01-13,18:00,22:00,SEAT,B08,1,499,0,CASH,CONFIRMED
BK9017,1,2026-01-01,CU0017,RT005,BUS015,2026-01-12,07:45,12:15,SEAT,A02,1,699,0,UPI,CONFIRMED
BK9018,1,2026-01-01,CU0018,RT003,BUS001,2026-01-11,21:00,05:45,SLEEPER,SL06,1,1499,5,CARD,CONFIRMED
BK9019,1,2026-01-01,CU0019,RT001,BUS011,2026-01-10,22:30,06:00,SEAT,S13,1,899,0,UPI,CONFIRMED
BK9020,1,2026-01-01,CU0020,RT011,BUS002,2026-01-14,21:30,05:30,SEAT,K20,1,749,0,CARD,CONFIRMED
BK9021,1,2026-01-01,CU0002,RT001,BUS011,2026-01-10,22:30,06:00,SEAT,S14,1,899,0,UPI,CONFIRMED
BK9022,1,2026-01-01,CU0007,RT009,BUS007,2026-01-11,20:00,06:30,SEAT,D16,1,799,0,UPI,CONFIRMED
BK9023,1,2026-01-01,CU0010,RT014,BUS013,2026-01-14,19:30,06:30,SEAT,G19,1,1099,8,CARD,CONFIRMED
BK9024,1,2026-01-01,CU0011,RT007,BUS008,2026-01-11,22:00,06:00,SEAT,H06,2,899,0,UPI,CONFIRMED
BK9025,1,2026-01-01,CU0005,RT006,BUS005,2026-01-14,23:00,07:00,SLEEPER,SL12,1,1299,10,CARD,CANCELLED
