ROUTE_ID,SOURCE_CITY,DEST_CITY,DISTANCE_KM,SOURCE_STATE,DEST_STATE,REGION,EFFECTIVE_FROM,STATUS
RT001,Chennai,Bengaluru,346,TN,KA,SOUTH,2020-01-01,ACTIVE
RT002,Chennai,Coimbatore,510,TN,TN,SOUTH,2020-01-01,ACTIVE
RT003,Bengaluru,Hyderabad,570,KA,TS,SOUTH,2020-01-01,ACTIVE
RT004,Mumbai,Pune,149,MH,MH,WEST,2020-01-01,ACTIVE
RT005,Delhi,Jaipur,281,DL,RJ,NORTH,2020-01-01,ACTIVE
RT006,Hyderabad,Chennai,627,TS,TN,SOUTH,2020-01-01,ACTIVE
RT007,Kolkata,Bhubaneswar,442,WB,OD,EAST,2020-01-01,ACTIVE
RT008,Ahmedabad,Surat,265,GJ,GJ,WEST,2020-01-01,ACTIVE
RT009,Lucknow,Delhi,553,UP,DL,NORTH,2020-01-01,ACTIVE
RT010,Kochi,Trivandrum,206,KL,KL,SOUTH,2020-01-01,ACTIVE
RT011,Chennai,Madurai,462,TN,TN,SOUTH,2020-01-01,ACTIVE
RT012,Bhopal,Indore,194,MP,MP,CENTRAL,2020-01-01,ACTIVE
RT013,Bengaluru,Mysuru,143,KA,KA,SOUTH,2020-01-01,ACTIVE
RT014,Mumbai,Goa,590,MH,GA,WEST,2020-01-01,ACTIVE
RT015,Delhi,Agra,233,DL,UP,NORTH,2020-01-01,ACTIVE
